,Var1,Freq
1,US,240252
2,GB,25991
3,,25519
4,CA,11294
5,AU,5866
6,""N,3627
7,DE,2516
8,0,2167
9,NL,2058
10,failed,1889
11,FR,1715
12,IT,1592
13,1,1330
14,successful,1316
15,ES,1274
16,SE,1208
17,NZ,1073
18,2,889
19,DK,781
20,3,710
21,4,535
22,IE,527
23,NO,493
24,5,445
25,CH,427
26,6,409
27,BE,372
28,canceled,368
29,AT,350
30,7,347
31,10,263
32,8,261
33,9,242
34,12,221
35,14,213
36,MX,202
37,11,193
38,13,191
39,16,182
40,17,182
41,15,169
42,20,166
43,19,162
44,18,160
45,22,142
46,21,140
47,23,136
48,25,131
49,24,125
50,29,122
51,32,122
52,28,121
53,26,116
54,30,112
55,SG,109
56,34,103
57,27,101
58,37,101
59,38,98
60,36,97
61,40,95
62,31,93
63,HK,93
64,35,91
65,33,88
66,50,85
67,41,82
68,42,82
69,44,81
70,45,77
71,39,75
72,54,75
73,49,74
74,52,73
75,51,68
76,48,66
77,55,65
78,57,65
79,58,65
80,60,64
81,46,63
82,43,62
83,59,62
84,63,62
85,53,61
86,live,59
87,47,57
88,62,55
89,64,54
90,61,53
91,56,52
92,71,52
93,81,52
94,69,48
95,73,47
96,72,46
97,67,45
98,77,45
99,84,44
100,70,43
101,82,43
102,65,42
103,75,42
104,79,42
105,80,42
106,83,40
107,66,39
108,68,39
109,74,39
110,78,39
111,LU,38
112,76,37
113,86,37
114,100,34
115,92,34
116,96,34
117,104,33
118,103,32
119,106,32
120,93,32
121,97,32
122,98,32
123,101,30
124,105,30
125,108,30
126,88,30
127,85,29
128,90,29
129,undefined,29
130,122,28
131,89,27
132,91,27
133,128,26
134,130,26
135,87,26
136,107,25
137,165,25
138,109,24
139,111,24
140,99,24
141,115,23
142,94,23
143,102,21
144,118,21
145,121,21
146,123,21
147,139,21
148,114,19
149,120,19
150,137,19
151,140,19
152,176,19
153,113,18
154,135,18
155,142,18
156,147,18
157,95,18
158,suspended,18
159,117,17
160,119,17
161,124,17
162,125,17
163,134,17
164,138,17
165,116,16
166,133,16
167,144,16
168,148,16
169,149,16
170,154,16
171,158,16
172,162,16
173,126,15
174,131,15
175,136,15
176,155,15
177,177,15
178,181,15
179,110,14
180,112,14
181,145,14
182,152,14
183,156,14
184,166,14
185,168,14
186,187,14
187,203,14
188,205,14
189,127,13
190,159,13
191,160,13
192,173,13
193,193,13
194,129,12
195,132,12
196,150,12
197,157,12
198,161,12
199,169,12
200,170,12
201,171,12
202,209,12
203,213,12
204,227,12
205,153,11
206,175,11
207,195,11
208,197,11
209,201,11
210,222,11
211,151,10
212,182,10
213,186,10
214,192,10
215,194,10
216,207,10
217,215,10
218,217,10
219,258,10
220,141,9
221,164,9
222,174,9
223,178,9
224,179,9
225,185,9
226,206,9
227,210,9
228,225,9
229,228,9
230,253,9
231,268,9
232,183,8
233,184,8
234,188,8
235,204,8
236,221,8
237,226,8
238,229,8
239,230,8
240,231,8
241,233,8
242,247,8
243,267,8
244,272,8
245,315,8
246,330,8
247,332,8
248,351,8
249,143,7
250,167,7
251,180,7
252,190,7
253,191,7
254,198,7
255,200,7
256,219,7
257,220,7
258,224,7
259,239,7
260,246,7
261,251,7
262,252,7
263,333,7
264,338,7
265,435,7
266,189,6
267,202,6
268,208,6
269,214,6
270,223,6
271,232,6
272,241,6
273,245,6
274,250,6
275,255,6
276,256,6
277,259,6
278,263,6
279,269,6
280,271,6
281,313,6
282,412,6
283,678,6
284,146,5
285,172,5
286,218,5
287,236,5
288,237,5
289,238,5
290,242,5
291,243,5
292,244,5
293,248,5
294,260,5
295,273,5
296,278,5
297,279,5
298,283,5
299,285,5
300,288,5
301,295,5
302,297,5
303,301,5
304,302,5
305,303,5
306,309,5
307,311,5
308,325,5
309,331,5
310,355,5
311,366,5
312,196,4
313,211,4
314,212,4
315,240,4
316,249,4
317,254,4
318,261,4
319,262,4
320,275,4
321,276,4
322,277,4
323,280,4
324,281,4
325,284,4
326,293,4
327,298,4
328,299,4
329,300,4
330,307,4
331,314,4
332,319,4
333,340,4
334,341,4
335,353,4
336,360,4
337,362,4
338,367,4
339,369,4
340,382,4
341,392,4
342,403,4
343,410,4
344,413,4
345,433,4
346,448,4
347,451,4
348,453,4
349,463,4
350,468,4
351,476,4
352,5000,4
353,570,4
354,606,4
355,750,4
356,10000,3
357,1025,3
358,1101,3
359,1155,3
360,163,3
361,199,3
362,216,3
363,234,3
364,257,3
365,266,3
366,270,3
367,282,3
368,286,3
369,287,3
370,289,3
371,291,3
372,292,3
373,294,3
374,296,3
375,30000,3
376,306,3
377,310,3
378,312,3
379,316,3
380,318,3
381,323,3
382,324,3
383,329,3
384,334,3
385,336,3
386,343,3
387,346,3
388,350,3
389,363,3
390,371,3
391,378,3
392,379,3
393,380,3
394,383,3
395,388,3
396,391,3
397,393,3
398,396,3
399,405,3
400,406,3
401,415,3
402,421,3
403,427,3
404,428,3
405,436,3
406,446,3
407,450,3
408,452,3
409,454,3
410,466,3
411,482,3
412,496,3
413,511,3
414,516,3
415,535,3
416,536,3
417,540,3
418,544,3
419,565,3
420,575,3
421,577,3
422,597,3
423,608,3
424,641,3
425,680,3
426,691,3
427,732,3
428,800,3
429,971,3
430,USD,3
431,1001,2
432,1015,2
433,1020,2
434,1052,2
435,1055,2
436,1056,2
437,1087,2
438,1091,2
439,1137,2
440,1164,2
441,1166,2
442,1200,2
443,1329,2
444,1338,2
445,1407,2
446,1453,2
447,1476,2
448,1660,2
449,1701,2
450,1743,2
451,1744,2
452,1776,2
453,1778,2
454,20000,2
455,2045,2
456,2272,2
457,235,2
458,265,2
459,2713,2
460,2730,2
461,304,2
462,305,2
463,317,2
464,320,2
465,321,2
466,322,2
467,326,2
468,327,2
469,335,2
470,339,2
471,344,2
472,345,2
473,348,2
474,354,2
475,356,2
476,359,2
477,361,2
478,364,2
479,370,2
480,375,2
481,377,2
482,381,2
483,384,2
484,398,2
485,399,2
486,4000,2
487,4010,2
488,409,2
489,414,2
490,417,2
491,420,2
492,425,2
493,431,2
494,437,2
495,438,2
496,439,2
497,441,2
498,442,2
499,443,2
500,455,2
501,460,2
502,461,2
503,464,2
504,465,2
505,469,2
506,470,2
507,475,2
508,483,2
509,489,2
510,492,2
511,500,2
512,502,2
513,505,2
514,506,2
515,508,2
516,509,2
517,510,2
518,517,2
519,520,2
520,521,2
521,530,2
522,538,2
523,539,2
524,542,2
525,545,2
526,555,2
527,558,2
528,559,2
529,5651,2
530,578,2
531,583,2
532,592,2
533,593,2
534,599,2
535,6000,2
536,616,2
537,619,2
538,635,2
539,655,2
540,662,2
541,667,2
542,674,2
543,675,2
544,683,2
545,686,2
546,697,2
547,7000,2
548,707,2
549,718,2
550,723,2
551,727,2
552,730,2
553,762,2
554,771,2
555,780,2
556,781,2
557,787,2
558,817,2
559,819,2
560,829,2
561,838,2
562,850,2
563,855,2
564,856,2
565,861,2
566,863,2
567,873,2
568,875,2
569,898,2
570,908,2
571,910,2
572,962,2
573,970,2
574,979,2
575,1000,1
576,100000,1
577,1003,1
578,1005,1
579,10050,1
580,1006,1
581,10075,1
582,1008,1
583,1009,1
584,101020,1
585,1012,1
586,10129,1
587,1013,1
588,10160,1
589,10170,1
590,1018,1
591,10200,1
592,1022,1
593,1026,1
594,1027,1
595,1028,1
596,1031,1
597,1040,1
598,1044,1
599,1047,1
600,1048,1
601,105.42,1
602,1050.37,1
603,1051,1
604,1057,1
605,1058,1
606,105857,1
607,1061,1
608,10665,1
609,1069,1
610,1071,1
611,1081,1
612,1085,1
613,10859,1
614,1088,1
615,1089,1
616,1090,1
617,1093,1
618,1096,1
619,1099,1
620,1112,1
621,1114,1
622,1115,1
623,11169,1
624,1117,1
625,11179,1
626,1123,1
627,1127,1
628,1129,1
629,1130,1
630,1131,1
631,11325.5,1
632,1134,1
633,11365.51,1
634,11433.98,1
635,1151,1
636,1160,1
637,116057.35,1
638,1161,1
639,1163,1
640,11686,1
641,11700,1
642,1174,1
643,1175,1
644,1176,1
645,1182,1
646,1183,1
647,1186,1
648,1189,1
649,118989,1
650,1193,1
651,1198,1
652,1199,1
653,1203,1
654,1206,1
655,1208,1
656,1210,1
657,12115,1
658,1212,1
659,12135,1
660,1219,1
661,1220,1
662,1221,1
663,1226,1
664,1233,1
665,1236,1
666,124353.66,1
667,1248,1
668,12553,1
669,1262.3,1
670,12626,1
671,1265,1
672,1268,1
673,1270,1
674,1276,1
675,1283,1
676,1284,1
677,1296.8,1
678,12968,1
679,12970,1
680,13000,1
681,13007,1
682,1302,1
683,13060,1
684,1309,1
685,1316,1
686,1317,1
687,1321,1
688,13216,1
689,1330,1
690,1335,1
691,1337,1
692,13374.15,1
693,13403.01,1
694,134563.03,1
695,1349,1
696,1364,1
697,1365,1
698,1366,1
699,1370,1
700,1372,1
701,1373,1
702,1379,1
703,13827.95,1
704,13919,1
705,1395,1
706,1421,1
707,142112,1
708,1423,1
709,1437,1
710,1439,1
711,1446,1
712,1448,1
713,1457,1
714,1458,1
715,1463,1
716,1470,1
717,1473,1
718,14864.99,1
719,1490,1
720,1498,1
721,15000,1
722,150000,1
723,15022,1
724,1514,1
725,1522,1
726,15288,1
727,1531,1
728,1533,1
729,1536,1
730,1554,1
731,1556.23,1
732,15620,1
733,1564,1
734,1569,1
735,1571,1
736,1572,1
737,1572.99,1
738,15762.75,1
739,1577,1
740,1581,1
741,1583,1
742,1584,1
743,1587,1
744,1590,1
745,1595,1
746,1600,1
747,1601,1
748,16012,1
749,1612,1
750,1615,1
751,162.27,1
752,1622,1
753,1627,1
754,16330,1
755,16335,1
756,1634,1
757,1640,1
758,1645,1
759,16537,1
760,16565,1
761,16584,1
762,1664,1
763,1665,1
764,1667,1
765,1669,1
766,1674,1
767,1676,1
768,1679,1
769,1697,1
770,17062,1
771,1707,1
772,1708,1
773,1733,1
774,1740,1
775,1756,1
776,1762,1
777,1768,1
778,1781,1
779,178193.38,1
780,1783,1
781,1784,1
782,1789,1
783,17894,1
784,1792,1
785,1793,1
786,17932,1
787,1803.5,1
788,1816,1
789,1822,1
790,1825.89,1
791,1828,1
792,1848,1
793,1876,1
794,1883,1
795,1893,1
796,18942,1
797,1895,1
798,19001.66,1
799,190352.29,1
800,1904,1
801,1908,1
802,19119,1
803,191771.56,1
804,1933,1
805,1948,1
806,1956,1
807,1969.86,1
808,1991,1
809,1994,1
810,1999,1
811,2001,1
812,2002,1
813,20026,1
814,2006,1
815,2009,1
816,2009-11-06 17:33:58,1
817,2010-02-12 03:00:21,1
818,2010-05-31 20:44:00,1
819,2010-07-06 05:17:31,1
820,2010-07-12 01:31:14,1
821,2010-08-09 19:05:39,1
822,2010-11-05 18:29:15,1
823,2010-12-06 04:12:31,1
824,2011-01-08 19:51:54,1
825,2011-02-16 07:53:31,1
826,2011-03-12 14:51:14,1
827,2011-08-03 15:59:16,1
828,2011-09-23 22:38:22,1
829,2011-11-03 21:05:53,1
830,2012-01-14 16:52:45,1
831,2012-02-22 22:55:31,1
832,2012-03-16 21:12:29,1
833,2012-03-29 07:58:41,1
834,2012-05-03 04:19:57,1
835,2012-05-15 02:32:46,1
836,2012-05-25 02:00:00,1
837,2012-06-27 00:44:56,1
838,2012-09-10 23:35:53,1
839,2012-09-19 01:08:54,1
840,2012-09-29 00:15:22,1
841,2013-02-15 15:56:48,1
842,2013-03-14 20:37:25,1
843,2013-03-30 00:32:58,1
844,2013-04-17 22:46:22,1
845,2013-05-29 04:38:56,1
846,2013-06-09 06:51:46,1
847,2013-06-27 03:54:39,1
848,2013-07-18 20:53:02,1
849,2013-08-06 18:38:59,1
850,2013-09-12 21:51:41,1
851,2013-10-17 11:58:54,1
852,2013-10-17 12:15:09,1
853,2013-10-18 11:33:24,1
854,2013-11-13 00:08:07,1
855,2014-01-16 08:03:00,1
856,2014-01-24 03:06:06,1
857,2014-01-30 16:01:43,1
858,2014-02-11 02:28:46,1
859,2014-02-12 23:27:06,1
860,2014-03-04 21:27:50,1
861,2014-03-28 19:16:31,1
862,2014-04-16 23:26:57,1
863,2014-05-03 20:21:51,1
864,2014-05-14 23:50:38,1
865,2014-05-15 22:48:01,1
866,2014-05-24 17:13:58,1
867,2014-06-09 19:27:26,1
868,2014-06-14 04:03:05,1
869,2014-06-30 22:37:24,1
870,2014-07-09 03:55:42,1
871,2014-07-17 23:44:12,1
872,2014-07-29 17:01:17,1
873,2014-08-04 05:32:58,1
874,2014-08-04 21:14:10,1
875,2014-08-16 17:06:23,1
876,2014-09-06 10:58:27,1
877,2014-10-01 02:20:07,1
878,2014-10-06 21:34:27,1
879,2014-10-08 01:50:00,1
880,2014-10-20 03:11:36,1
881,2014-11-13 19:06:56,1
882,2014-11-14 04:59:36,1
883,2014-12-14 20:17:05,1
884,2015-01-06 09:50:06,1
885,2015-01-07 21:49:35,1
886,2015-01-08 23:00:41,1
887,2015-01-18 02:43:37,1
888,2015-01-28 08:52:35,1
889,2015-01-28 13:31:57,1
890,2015-02-03 07:20:27,1
891,2015-02-13 04:25:40,1
892,2015-02-15 12:01:09,1
893,2015-02-24 15:30:55,1
894,2015-03-10 13:00:04,1
895,2015-03-16 22:12:38,1
896,2015-03-29 08:12:02,1
897,2015-04-17 19:23:44,1
898,2015-05-05 06:30:05,1
899,2015-05-26 17:10:31,1
900,2015-06-02 19:06:26,1
901,2015-06-12 19:36:11,1
902,2015-06-24 16:04:24,1
903,2015-07-18 13:25:04,1
904,2015-07-30 04:59:28,1
905,2015-08-10 19:52:25,1
906,2015-09-04 22:12:19,1
907,2015-09-10 18:15:45,1
908,2015-09-22 13:59:20,1
909,2015-10-07 01:06:50,1
910,2015-10-26 03:53:12,1
911,2015-11-16 23:18:09,1
912,2015-11-23 19:08:33,1
913,2015-11-30 18:12:49,1
914,2015-12-18 20:33:52,1
915,2016-01-21 01:01:30,1
916,2016-01-21 03:32:39,1
917,2016-01-28 21:52:44,1
918,2016-02-01 18:59:56,1
919,2016-02-22 12:21:57,1
920,2016-03-06 19:01:23,1
921,2016-03-10 01:56:43,1
922,2016-03-16 21:49:36,1
923,2016-03-30 06:18:11,1
924,2016-04-15 18:39:35,1
925,2016-04-19 01:21:23,1
926,2016-05-03 06:01:31,1
927,2016-05-09 15:02:48,1
928,2016-05-31 23:42:43,1
929,2016-06-17 20:23:41,1
930,2016-08-04 15:17:04,1
931,2016-08-09 17:59:03,1
932,2016-08-16 10:01:11,1
933,2016-08-16 18:24:49,1
934,2016-09-29 00:15:02,1
935,2016-10-12 23:48:14,1
936,2016-10-27 16:51:43,1
937,2049,1
938,2053,1
939,2054,1
940,2065,1
941,2068,1
942,20753,1
943,2082,1
944,20826,1
945,2091,1
946,2099,1
947,2103.58,1
948,2113,1
949,2132,1
950,2134,1
951,2135,1
952,21413.38,1
953,2142,1
954,21430.95,1
955,2146,1
956,2148.03,1
957,2151,1
958,2154.22,1
959,2156,1
960,21625,1
961,2175,1
962,2176,1
963,2181,1
964,2188,1
965,21909,1
966,2210,1
967,2213,1
968,2216,1
969,2224,1
970,2227,1
971,2260,1
972,2265,1
973,2271,1
974,2274,1
975,2288,1
976,2298.5,1
977,231370.87,1
978,2318,1
979,2323,1
980,2347,1
981,2389,1
982,2395,1
983,2406,1
984,2449,1
985,2477,1
986,2500,1
987,250000,1
988,25077,1
989,2518,1
990,2548,1
991,2553,1
992,2556,1
993,2560,1
994,2569,1
995,2570,1
996,2611,1
997,2612,1
998,2618,1
999,264,1
1000,2640,1
1001,26451.31,1
1002,26484,1
1003,2650,1
1004,2655,1
1005,2659,1
1006,2664,1
1007,2670,1
1008,26775.5,1
1009,27186,1
1010,2719,1
1011,2724,1
1012,2738,1
1013,2739,1
1014,274,1
1015,2765,1
1016,27687,1
1017,2801,1
1018,2802,1
1019,2812.69,1
1020,2860,1
1021,2865,1
1022,2868,1
1023,2872,1
1024,2883,1
1025,28855,1
1026,28905.09,1
1027,290,1
1028,2902,1
1029,2930,1
1030,2942,1
1031,2960,1
1032,2987,1
1033,2990,1
1034,30177,1
1035,3038,1
1036,30514.11,1
1037,30546,1
1038,3078,1
1039,3083,1
1040,3108,1
1041,3124,1
1042,3152,1
1043,3156,1
1044,3164,1
1045,3168,1
1046,3175,1
1047,3190,1
1048,3194,1
1049,3238,1
1050,328,1
1051,3320,1
1052,3331,1
1053,3358,1
1054,3414,1
1055,342,1
1056,3421,1
1057,3426,1
1058,3444,1
1059,3462,1
1060,3464,1
1061,347,1
1062,3476,1
1063,3479,1
1064,349,1
1065,35100,1
1066,3518,1
1067,352,1
1068,3530,1
1069,357,1
1070,35730,1
1071,3597,1
1072,3598,1
1073,3605,1
1074,3615,1
1075,3621,1
1076,3645,1
1077,365,1
1078,3650,1
1079,3665,1
1080,36781,1
1081,36785,1
1082,368,1
1083,3687,1
1084,37.5,1
1085,3702,1
1086,3706,1
1087,3715,1
1088,372,1
1089,373,1
1090,374,1
1091,376,1
1092,3787,1
1093,3788,1
1094,3797,1
1095,3825.04,1
1096,385,1
1097,386,1
1098,38647,1
1099,3868,1
1100,387,1
1101,389,1
1102,3893.02,1
1103,390000,1
1104,3913,1
1105,3914,1
1106,3948,1
1107,395,1
1108,3966,1
1109,397,1
1110,3982,1
1111,400,1
1112,40000,1
1113,401,1
1114,402,1
1115,4024,1
1116,402413,1
1117,4034,1
1118,404,1
1119,4043,1
1120,407,1
1121,408,1
1122,411,1
1123,4113,1
1124,41295.6,1
1125,41542,1
1126,416,1
1127,41629,1
1128,418,1
1129,4180,1
1130,419,1
1131,42275,1
1132,42288,1
1133,424,1
1134,4244,1
1135,4245,1
1136,426,1
1137,4280,1
1138,4281,1
1139,430,1
1140,4317,1
1141,4349,1
1142,4362,1
1143,440,1
1144,4420,1
1145,4474,1
1146,4477,1
1147,4478,1
1148,4487,1
1149,4502,1
1150,456,1
1151,4567,1
1152,458,1
1153,459,1
1154,4593,1
1155,462,1
1156,4623,1
1157,467,1
1158,4692.5,1
1159,471,1
1160,472,1
1161,4723,1
1162,474,1
1163,47442,1
1164,477,1
1165,481,1
1166,4818,1
1167,4829,1
1168,484,1
1169,485,1
1170,4874,1
1171,4880,1
1172,4898,1
1173,4906,1
1174,491,1
1175,494,1
1176,497,1
1177,498,1
1178,499,1
1179,50000,1
1180,500000,1
1181,5001,1
1182,5015,1
1183,5020,1
1184,504,1
1185,507,1
1186,5090,1
1187,5119,1
1188,512,1
1189,513,1
1190,515,1
1191,5153,1
1192,5165,1
1193,5186,1
1194,52022.34,1
1195,523,1
1196,52487,1
1197,5259,1
1198,526,1
1199,527,1
1200,528,1
1201,5294,1
1202,533,1
1203,5366,1
1204,5373,1
1205,541,1
1206,543,1
1207,5444,1
1208,5449,1
1209,5451,1
1210,54581,1
1211,5476,1
1212,5485,1
1213,549,1
1214,5496,1
1215,551,1
1216,553,1
1217,5555,1
1218,557,1
1219,560,1
1220,561,1
1221,5613,1
1222,5620,1
1223,5657,1
1224,566,1
1225,5695,1
1226,571,1
1227,574,1
1228,576,1
1229,5762.55,1
1230,5799.98,1
1231,581,1
1232,582,1
1233,5827,1
1234,58463.35,1
1235,586,1
1236,588,1
1237,589,1
1238,590,1
1239,5909,1
1240,591,1
1241,594,1
1242,596,1
1243,598,1
1244,600,1
1245,60000,1
1246,6044,1
1247,6062,1
1248,607,1
1249,609,1
1250,611,1
1251,6118,1
1252,613,1
1253,6143,1
1254,615,1
1255,617,1
1256,620,1
1257,6203,1
1258,621,1
1259,622,1
1260,623,1
1261,625,1
1262,628,1
1263,6297,1
1264,631,1
1265,6312,1
1266,632,1
1267,6333,1
1268,6336,1
1269,634,1
1270,6350,1
1271,6357,1
1272,636,1
1273,6378,1
1274,638,1
1275,643,1
1276,645,1
1277,646,1
1278,648,1
1279,649,1
1280,6529.01,1
1281,653,1
1282,65348.68,1
1283,65853.22,1
1284,660,1
1285,663,1
1286,664,1
1287,665,1
1288,666,1
1289,66673,1
1290,66759,1
1291,6677,1
1292,668,1
1293,669,1
1294,671,1
1295,672,1
1296,6729,1
1297,676,1
1298,677,1
1299,679,1
1300,682,1
1301,684,1
1302,685,1
1303,687,1
1304,688,1
1305,6880.01,1
1306,689,1
1307,690,1
1308,692,1
1309,6944,1
1310,6954,1
1311,6966,1
1312,6997,1
1313,7010,1
1314,702,1
1315,710,1
1316,7112,1
1317,715,1
1318,719,1
1319,720,1
1320,721,1
1321,728,1
1322,7280.1,1
1323,7300.05,1
1324,733,1
1325,734,1
1326,735,1
1327,736,1
1328,740,1
1329,7400.5,1
1330,741,1
1331,7433,1
1332,744,1
1333,745,1
1334,7472,1
1335,748,1
1336,7493,1
1337,751,1
1338,7537,1
1339,756,1
1340,757,1
1341,758,1
1342,759,1
1343,760,1
1344,7602,1
1345,761,1
1346,763,1
1347,764,1
1348,7668.01,1
1349,768,1
1350,7718.55,1
1351,773,1
1352,774,1
1353,775,1
1354,778,1
1355,784,1
1356,78471,1
1357,792,1
1358,7960,1
1359,797,1
1360,8001,1
1361,806,1
1362,808,1
1363,810,1
1364,8105,1
1365,813,1
1366,8136,1
1367,814,1
1368,818,1
1369,820,1
1370,821,1
1371,822,1
1372,826,1
1373,831,1
1374,833,1
1375,840,1
1376,842,1
1377,845,1
1378,846,1
1379,8468.55,1
1380,851,1
1381,852,1
1382,8530,1
1383,8559,1
1384,858,1
1385,864,1
1386,867,1
1387,868,1
1388,8688,1
1389,870,1
1390,876,1
1391,877,1
1392,878,1
1393,879,1
1394,880,1
1395,882,1
1396,885,1
1397,8889,1
1398,890,1
1399,893,1
1400,8958,1
1401,909,1
1402,911,1
1403,9119.5,1
1404,912,1
1405,916,1
1406,919,1
1407,9226,1
1408,9286,1
1409,9353,1
1410,942,1
1411,945,1
1412,95000,1
1413,951,1
1414,955,1
1415,957,1
1416,959,1
1417,961,1
1418,964,1
1419,966,1
1420,97000,1
1421,973,1
1422,974,1
1423,9854,1
1424,9882,1
1425,990,1
1426,994,1
1427,995,1
1428,996,1
1429,998,1
1430,999,1
1431,Fashion,1
